,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
20,0.004639625549316406,0.00011356815691373287,0.0027114391326904298,7.725653773503812e-05,50,1,"{'C': 50, 'gamma': 1}",0.10526315789473684,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.0332871332649303,18,0.2962962962962963,0.3333333333333333
21,0.005859375,0.00017023680914325176,0.0024498939514160157,0.0001925359919391263,50,0.1,"{'C': 50, 'gamma': 0.1}",0.42105263157894735,0.47368421052631576,0.5263157894736842,0.42105263157894735,0.5263157894736842,0.47368421052631576,0.047075115315785045,8,0.2962962962962963,0.3333333333333333
22,0.00439748764038086,7.48556278799961e-05,0.0024692535400390623,0.00016271577380541955,50,0.01,"{'C': 50, 'gamma': 0.01}",0.631578947368421,0.5263157894736842,0.3157894736842105,0.3684210526315789,0.5789473684210527,0.48421052631578954,0.1218509147662129,6,0.2962962962962963,0.3333333333333333
23,0.0039023399353027345,0.0002886076585985347,0.002480316162109375,0.000186957773979576,50,0.001,"{'C': 50, 'gamma': 0.001}",0.6842105263157895,0.42105263157894735,0.3684210526315789,0.3157894736842105,0.5789473684210527,0.47368421052631576,0.13724636642531893,8,0.2962962962962963,0.3333333333333333
24,0.003646993637084961,0.0001574028264132733,0.002548885345458984,0.0001607505970771487,50,0.0001,"{'C': 50, 'gamma': 0.0001}",0.0,0.0,0.05263157894736842,0.0,0.0,0.010526315789473684,0.021052631578947364,22,0.2962962962962963,0.3333333333333333
25,0.004648590087890625,0.00013510342579191675,0.00272979736328125,4.55619339414181e-05,100,1,"{'C': 100, 'gamma': 1}",0.10526315789473684,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.0332871332649303,18,0.2962962962962963,0.3333333333333333
26,0.006641101837158203,9.370225068956484e-05,0.0025297164916992187,0.00013437797354687956,100,0.1,"{'C': 100, 'gamma': 0.1}",0.47368421052631576,0.47368421052631576,0.631578947368421,0.42105263157894735,0.47368421052631576,0.4947368421052632,0.0713929471907923,2,0.2962962962962963,0.3333333333333333
27,0.0050888538360595705,0.0001876727955203894,0.002537822723388672,0.00010166248729165098,100,0.01,"{'C': 100, 'gamma': 0.01}",0.631578947368421,0.47368421052631576,0.42105263157894735,0.3684210526315789,0.5263157894736842,0.4842105263157895,0.09055079228465923,7,0.2962962962962963,0.3333333333333333
28,0.004100227355957031,0.00023671863099169866,0.002579069137573242,9.712115947986221e-05,100,0.001,"{'C': 100, 'gamma': 0.001}",0.6842105263157895,0.42105263157894735,0.3157894736842105,0.3684210526315789,0.5789473684210527,0.47368421052631576,0.13724636642531893,8,0.2962962962962963,0.3333333333333333
29,0.0036803245544433593,7.400546491683399e-05,0.002491474151611328,0.00011321996019828312,100,0.0001,"{'C': 100, 'gamma': 0.0001}",0.05263157894736842,0.21052631578947367,0.21052631578947367,0.05263157894736842,0.21052631578947367,0.14736842105263157,0.07735230766683719,15,0.2962962962962963,0.3333333333333333
30,0.0049364566802978516,0.0004188099876923877,0.0028089046478271484,0.00018178059417839506,1000,1,"{'C': 1000, 'gamma': 1}",0.10526315789473684,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.0332871332649303,18,0.2962962962962963,0.3333333333333333
31,0.007731914520263672,0.000828682729376745,0.002867460250854492,0.0003479230161261472,1000,0.1,"{'C': 1000, 'gamma': 0.1}",0.47368421052631576,0.5263157894736842,0.631578947368421,0.42105263157894735,0.47368421052631576,0.5052631578947369,0.0713929471907923,1,0.2962962962962963,0.3333333333333333
32,0.016398859024047852,0.0014132617544126492,0.0028390407562255858,0.00027496145646781233,1000,0.01,"{'C': 1000, 'gamma': 0.01}",0.42105263157894735,0.47368421052631576,0.3684210526315789,0.3157894736842105,0.5263157894736842,0.42105263157894735,0.07443229275647868,12,0.2962962962962963,0.3333333333333333
33,0.005161142349243164,0.00029845060603049956,0.0024529457092285155,0.0001842967658870834,1000,0.001,"{'C': 1000, 'gamma': 0.001}",0.631578947368421,0.47368421052631576,0.3157894736842105,0.42105263157894735,0.631578947368421,0.4947368421052632,0.12275688199674316,2,0.2962962962962963,0.3333333333333333
34,0.004199600219726563,0.0004398477768225356,0.003025197982788086,0.0006974419471382142,1000,0.0001,"{'C': 1000, 'gamma': 0.0001}",0.6842105263157895,0.42105263157894735,0.3684210526315789,0.3684210526315789,0.631578947368421,0.4947368421052632,0.1356220918602645,2,0.2962962962962963,0.3333333333333333
