,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_coef0,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
10,0.005232572555541992,0.00028061884991065417,0.0025701522827148438,6.410809149974012e-05,0.1,balanced,3.0,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 1}",0.8235294117647058,0.7777777777777778,0.6111111111111112,0.7222222222222222,0.6666666666666666,0.7202614379084967,0.07584516042028056,59,0.42857142857142855,1.0
11,0.005905246734619141,6.503499474062327e-05,0.002789211273193359,0.00011278397373435082,0.1,balanced,3.0,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.1}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
12,0.005834722518920898,0.00014600459456513886,0.002836179733276367,4.5741932553655657e-05,0.1,balanced,3.0,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.01}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
13,0.0059926509857177734,0.0001866494378573685,0.002786540985107422,0.00011360885211296596,0.1,balanced,3.0,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
14,0.005961084365844726,0.00020192027412554246,0.002829837799072266,8.386891941430839e-05,0.1,balanced,3.0,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 3.0, 'gamma': 0.0001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
15,0.005470561981201172,0.00025088158002088354,0.002755880355834961,0.00026767036310196686,0.1,balanced,4.5,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 1}",0.8823529411764706,0.6666666666666666,0.4444444444444444,0.7777777777777778,0.9444444444444444,0.7431372549019608,0.17673183277245094,45,0.42857142857142855,1.0
16,0.00608372688293457,0.0002170103142623166,0.0028334617614746093,0.00014083905119226418,0.1,balanced,4.5,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 0.1}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
17,0.005999898910522461,0.000327056332578208,0.0027575969696044924,0.00010510202736818604,0.1,balanced,4.5,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 0.01}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
18,0.005997419357299805,7.527248737578321e-05,0.0028765201568603516,0.00018131923392384713,0.1,balanced,4.5,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 0.001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
19,0.005698347091674804,0.00011631333889983522,0.002748584747314453,2.009833268819651e-05,0.1,balanced,4.5,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 4.5, 'gamma': 0.0001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
20,0.005753278732299805,0.00023471322845344288,0.0027324199676513673,5.0610957763696916e-05,0.1,balanced,6.0,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 6.0, 'gamma': 1}",1.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,1.0,0.6333333333333333,0.29938207967349956,96,0.42857142857142855,1.0
21,0.0058632373809814455,6.943024116347991e-05,0.0027449607849121095,7.953929667286853e-05,0.1,balanced,6.0,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 6.0, 'gamma': 0.1}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
