,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.0039936542510986325,0.00010921617590987951,0.0019890308380126954,6.642045509436777e-05,0.5,balanced,1,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 1}",0.6153846153846154,0.4807692307692308,0.5961538461538461,0.39215686274509803,0.5098039215686274,0.5188536953242836,0.08109000441119621,69
11,0.004044008255004883,0.00016238264982282695,0.0019470691680908204,9.567848975366995e-05,0.5,balanced,0.1,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.1}",0.75,0.6538461538461539,0.6730769230769231,0.6470588235294118,0.6862745098039216,0.682051282051282,0.036702600597228185,41
12,0.00407114028930664,0.00023070368286395724,0.0020278453826904296,9.574583797189702e-05,0.5,balanced,0.01,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.01}",0.8076923076923077,0.6153846153846154,0.6538461538461539,0.6470588235294118,0.6862745098039216,0.6820512820512821,0.0667352213328112,40
13,0.004095458984375,9.242361335544686e-05,0.002008676528930664,3.06023968737023e-05,0.5,balanced,0.001,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.001}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
14,0.004006195068359375,0.00011342565885069257,0.001988124847412109,4.988783290155574e-05,0.5,balanced,0.0001,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 0.0001}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
15,0.0044136524200439455,0.0010967585040381534,0.002379703521728516,0.0008835760941014032,0.5,,1,"{'C': 0.5, 'class_weight': None, 'gamma': 1}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
16,0.005282020568847657,0.0017025366438132342,0.0023981571197509766,0.0005835258480851775,0.5,,0.1,"{'C': 0.5, 'class_weight': None, 'gamma': 0.1}",0.7692307692307693,0.7115384615384616,0.6538461538461539,0.7254901960784313,0.7058823529411765,0.7131975867269985,0.03706665270269138,10
17,0.003371858596801758,5.81204839247137e-05,0.0018527984619140625,8.938838765691493e-05,0.5,,0.01,"{'C': 0.5, 'class_weight': None, 'gamma': 0.01}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
18,0.003430461883544922,0.00028437164912922396,0.0021155834197998046,0.0004680665363104134,0.5,,0.001,"{'C': 0.5, 'class_weight': None, 'gamma': 0.001}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
19,0.0032445430755615235,0.00011338698342100426,0.001764965057373047,4.486918574505255e-05,0.5,,0.0001,"{'C': 0.5, 'class_weight': None, 'gamma': 0.0001}",0.6923076923076923,0.6923076923076923,0.6730769230769231,0.6862745098039216,0.6862745098039216,0.6860482654600302,0.007024513437221705,22
20,0.004217815399169922,4.640911802203349e-05,0.0019503593444824218,9.767133626042106e-06,1,balanced,1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1}",0.6538461538461539,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6743589743589743,0.015384615384615382,45
21,0.0038863658905029298,8.50645415381373e-05,0.0018876552581787109,7.297705679268029e-05,1,balanced,0.1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1}",0.7115384615384616,0.6538461538461539,0.6538461538461539,0.6862745098039216,0.6862745098039216,0.6783559577677225,0.022036090695686385,44
22,0.003969907760620117,0.00018971468368825733,0.0019079685211181641,8.146265691268756e-05,1,balanced,0.01,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01}",0.75,0.5961538461538461,0.6538461538461539,0.7058823529411765,0.6862745098039216,0.6784313725490196,0.051596829146921895,43
