,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_coef0,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,0.004007196426391602,0.0003285707534845926,0.002214193344116211,0.00011793138293334503,0.1,balanced,6.0,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 6.0, 'gamma': 0.01}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
23,0.0047513008117675785,0.0009463208967922316,0.0022249698638916017,0.00010862549318631844,0.1,balanced,6.0,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 6.0, 'gamma': 0.001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
24,0.0068394184112548825,0.0002952467946617746,0.0025854587554931642,0.00015206742931699697,0.1,balanced,6.0,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 6.0, 'gamma': 0.0001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
25,0.004989004135131836,0.0009060236724037444,0.00238652229309082,0.00020788565631549402,0.1,balanced,7.5,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 7.5, 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
26,0.005144453048706055,0.0006683480078314262,0.0021966934204101563,0.0002820273759335938,0.1,balanced,7.5,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 7.5, 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
27,0.005299139022827149,0.001139425486809262,0.0024003505706787108,0.0002903759141228368,0.1,balanced,7.5,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 7.5, 'gamma': 0.01}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
28,0.005524063110351562,0.0010136998211360663,0.0024338245391845705,0.00023340613404107402,0.1,balanced,7.5,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 7.5, 'gamma': 0.001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
29,0.0068072319030761715,0.00036076623349868956,0.0028679370880126953,0.00014070752738910069,0.1,balanced,7.5,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 7.5, 'gamma': 0.0001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
30,0.0046424388885498045,0.00026449252388723894,0.0023154258728027345,0.0001561128444631516,0.1,balanced,9.0,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 9.0, 'gamma': 1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
31,0.00462956428527832,0.0003936244212244687,0.002655315399169922,0.0002213702011779921,0.1,balanced,9.0,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 9.0, 'gamma': 0.1}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
32,0.00521087646484375,0.0007440025100345146,0.0023679256439208983,0.0003125073524141955,0.1,balanced,9.0,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 9.0, 'gamma': 0.01}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
33,0.0047876834869384766,0.0006171510673951671,0.0022518157958984373,0.0002516356655191562,0.1,balanced,9.0,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 9.0, 'gamma': 0.001}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.34375,0.34375,0.5313461538461539,0.1532745993654881,542
