,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
16,0.004134368896484375,0.000307751137810284,0.0023753166198730467,6.38574511320412e-05,0.5,"{0: 0.9, 1: 1.4}","{'C': 0.5, 'class_weight': {0: 0.9, 1: 1.4}}",0.6842105263157895,0.5789473684210527,0.6842105263157895,0.47368421052631576,0.6842105263157895,0.6210526315789473,0.08421052631578949,20,0.4117647058823529,0.5833333333333334
17,0.004155731201171875,0.00019119568232083778,0.00262451171875,0.00020739253668990238,0.5,"{0: 0.8, 1: 1.5}","{'C': 0.5, 'class_weight': {0: 0.8, 1: 1.5}}",0.6842105263157895,0.5789473684210527,0.6842105263157895,0.5263157894736842,0.7368421052631579,0.6421052631578947,0.0773523076668372,14,0.4117647058823529,0.5833333333333334
18,0.003831958770751953,0.0001625459190180955,0.00234222412109375,9.619697749667896e-05,0.5,"{0: 1, 1: 0.6}","{'C': 0.5, 'class_weight': {0: 1, 1: 0.6}}",0.21052631578947367,0.21052631578947367,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.057655006053175376,53,0.4117647058823529,0.5833333333333334
19,0.005000972747802734,0.0007852246114201509,0.0027493953704833983,0.0003873187242228951,0.5,"{0: 1.0, 1: 1.5}","{'C': 0.5, 'class_weight': {0: 1.0, 1: 1.5}}",0.6842105263157895,0.5789473684210527,0.631578947368421,0.47368421052631576,0.6842105263157895,0.6105263157894736,0.07877173445839877,23,0.4117647058823529,0.5833333333333334
20,0.003983020782470703,0.00017687952857791582,0.0022896766662597657,3.2242655348381716e-05,0.5,"{0: 1, 1: 1.3}","{'C': 0.5, 'class_weight': {0: 1, 1: 1.3}}",0.6842105263157895,0.5263157894736842,0.5263157894736842,0.42105263157894735,0.6842105263157895,0.5684210526315789,0.10205641805087011,38,0.4117647058823529,0.5833333333333334
21,0.004832410812377929,0.00023772967947159352,0.00233607292175293,3.074819628543308e-05,1,balanced,"{'C': 1, 'class_weight': 'balanced'}",0.6842105263157895,0.6842105263157895,0.7368421052631579,0.5263157894736842,0.7368421052631579,0.6736842105263158,0.0773523076668372,3,0.4117647058823529,0.5833333333333334
22,0.004980897903442383,0.0005049597349080252,0.0023454666137695313,0.0001267177679461904,1,,"{'C': 1, 'class_weight': None}",0.6842105263157895,0.47368421052631576,0.42105263157894735,0.3684210526315789,0.631578947368421,0.5157894736842106,0.1218509147662129,40,0.4117647058823529,0.5833333333333334
23,0.004618263244628907,0.00014484022673941595,0.0023465633392333986,4.7056700989189856e-05,1,"{0: 0.9, 1: 1.4}","{'C': 1, 'class_weight': {0: 0.9, 1: 1.4}}",0.6842105263157895,0.5789473684210527,0.6842105263157895,0.42105263157894735,0.7368421052631579,0.6210526315789473,0.11239029738980327,20,0.4117647058823529,0.5833333333333334
24,0.004536247253417969,0.0001638131428417786,0.002341175079345703,4.412240985673243e-05,1,"{0: 0.8, 1: 1.5}","{'C': 1, 'class_weight': {0: 0.8, 1: 1.5}}",0.6842105263157895,0.5789473684210527,0.7368421052631579,0.47368421052631576,0.7368421052631579,0.6421052631578947,0.10205641805087008,14,0.4117647058823529,0.5833333333333334
25,0.004758358001708984,0.0008990073234358878,0.002635669708251953,0.00037045611701557124,1,"{0: 1, 1: 0.6}","{'C': 1, 'class_weight': {0: 1, 1: 0.6}}",0.3684210526315789,0.3157894736842105,0.15789473684210525,0.05263157894736842,0.2631578947368421,0.23157894736842102,0.11337189067651587,52,0.4117647058823529,0.5833333333333334
26,0.004676103591918945,0.0002669669829048589,0.0023107051849365233,5.340903987360272e-05,1,"{0: 1.0, 1: 1.5}","{'C': 1, 'class_weight': {0: 1.0, 1: 1.5}}",0.6842105263157895,0.5789473684210527,0.6842105263157895,0.42105263157894735,0.6842105263157895,0.6105263157894736,0.10313641022244961,23,0.4117647058823529,0.5833333333333334
27,0.0045260429382324215,0.00011030240184971071,0.0023542404174804687,2.1216092249232628e-05,1,"{0: 1, 1: 1.3}","{'C': 1, 'class_weight': {0: 1, 1: 1.3}}",0.6842105263157895,0.5263157894736842,0.47368421052631576,0.42105263157894735,0.6842105263157895,0.5578947368421052,0.10837505411565265,39,0.4117647058823529,0.5833333333333334
28,0.011336612701416015,0.002525357602070687,0.002647113800048828,0.00019237435953605806,10,balanced,"{'C': 10, 'class_weight': 'balanced'}",0.6842105263157895,0.6842105263157895,0.7368421052631579,0.5263157894736842,0.7368421052631579,0.6736842105263158,0.0773523076668372,3,0.4117647058823529,0.5833333333333334
29,0.01396946907043457,0.0038009392997805226,0.0027513027191162108,0.0003536083806072506,10,,"{'C': 10, 'class_weight': None}",0.6842105263157895,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.631578947368421,0.5052631578947369,0.13147364207154524,42,0.4117647058823529,0.5833333333333334
30,0.015069580078125,0.004778757130822142,0.002557706832885742,0.0001946607557119977,10,"{0: 0.9, 1: 1.4}","{'C': 10, 'class_weight': {0: 0.9, 1: 1.4}}",0.6842105263157895,0.5789473684210527,0.5789473684210527,0.47368421052631576,0.6842105263157895,0.6,0.07877173445839877,27,0.4117647058823529,0.5833333333333334
31,0.013802862167358399,0.0038113064346440985,0.0026074886322021485,0.00021621942098192055,10,"{0: 0.8, 1: 1.5}","{'C': 10, 'class_weight': {0: 0.8, 1: 1.5}}",0.6842105263157895,0.5789473684210527,0.7368421052631579,0.47368421052631576,0.7368421052631579,0.6421052631578947,0.10205641805087008,14,0.4117647058823529,0.5833333333333334
32,0.01175227165222168,0.003918326234820972,0.002480888366699219,5.3575068565011756e-05,10,"{0: 1, 1: 0.6}","{'C': 10, 'class_weight': {0: 1, 1: 0.6}}",0.3684210526315789,0.3157894736842105,0.15789473684210525,0.10526315789473684,0.3684210526315789,0.2631578947368421,0.11040093138633174,49,0.4117647058823529,0.5833333333333334
33,0.016103076934814452,0.004937105870573961,0.002649879455566406,0.00011358833618853296,10,"{0: 1.0, 1: 1.5}","{'C': 10, 'class_weight': {0: 1.0, 1: 1.5}}",0.6842105263157895,0.5789473684210527,0.5789473684210527,0.47368421052631576,0.6842105263157895,0.6,0.07877173445839877,27,0.4117647058823529,0.5833333333333334
34,0.014296245574951173,0.002191826952076238,0.0026740074157714845,0.00014164083189125305,10,"{0: 1, 1: 1.3}","{'C': 10, 'class_weight': {0: 1, 1: 1.3}}",0.6842105263157895,0.5263157894736842,0.5263157894736842,0.47368421052631576,0.6842105263157895,0.5789473684210527,0.08806947647727113,34,0.4117647058823529,0.5833333333333334
35,0.03591976165771484,0.0029796669179702317,0.00268096923828125,5.0916385060367955e-05,50,balanced,"{'C': 50, 'class_weight': 'balanced'}",0.6842105263157895,0.6842105263157895,0.7368421052631579,0.5263157894736842,0.7368421052631579,0.6736842105263158,0.0773523076668372,3,0.4117647058823529,0.5833333333333334
36,0.04961867332458496,0.015118033256955524,0.0027464866638183595,0.00022516281914759925,50,,"{'C': 50, 'class_weight': None}",0.6842105263157895,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.631578947368421,0.5052631578947369,0.13147364207154524,42,0.4117647058823529,0.5833333333333334
37,0.04891505241394043,0.016681859987642645,0.0027313709259033205,3.157706246420372e-05,50,"{0: 0.9, 1: 1.4}","{'C': 50, 'class_weight': {0: 0.9, 1: 1.4}}",0.6842105263157895,0.5789473684210527,0.631578947368421,0.47368421052631576,0.6842105263157895,0.6105263157894736,0.07877173445839877,23,0.4117647058823529,0.5833333333333334
38,0.0387056827545166,0.005085093138780572,0.0026735305786132813,8.344140718433999e-05,50,"{0: 0.8, 1: 1.5}","{'C': 50, 'class_weight': {0: 0.8, 1: 1.5}}",0.6842105263157895,0.5789473684210527,0.7894736842105263,0.47368421052631576,0.7368421052631579,0.6526315789473685,0.11337189067651587,11,0.4117647058823529,0.5833333333333334
39,0.03955521583557129,0.012240883798529431,0.002863025665283203,0.00037389505482136024,50,"{0: 1, 1: 0.6}","{'C': 50, 'class_weight': {0: 1, 1: 0.6}}",0.3684210526315789,0.3157894736842105,0.15789473684210525,0.10526315789473684,0.3684210526315789,0.2631578947368421,0.11040093138633174,49,0.4117647058823529,0.5833333333333334
40,0.06431183815002442,0.026018126476418556,0.002682924270629883,7.80419435769006e-05,50,"{0: 1.0, 1: 1.5}","{'C': 50, 'class_weight': {0: 1.0, 1: 1.5}}",0.6842105263157895,0.5789473684210527,0.5789473684210527,0.47368421052631576,0.6842105263157895,0.6,0.07877173445839877,27,0.4117647058823529,0.5833333333333334
41,0.05316681861877441,0.013863694388712886,0.0028453826904296874,0.00032776974636636785,50,"{0: 1, 1: 1.3}","{'C': 50, 'class_weight': {0: 1, 1: 1.3}}",0.6842105263157895,0.5263157894736842,0.5263157894736842,0.47368421052631576,0.6842105263157895,0.5789473684210527,0.08806947647727113,34,0.4117647058823529,0.5833333333333334
42,0.0641061782836914,0.011432024387379837,0.0031572818756103516,0.0008063568520733723,100,balanced,"{'C': 100, 'class_weight': 'balanced'}",0.6842105263157895,0.6842105263157895,0.7368421052631579,0.5263157894736842,0.7368421052631579,0.6736842105263158,0.0773523076668372,3,0.4117647058823529,0.5833333333333334
43,0.08861360549926758,0.03172344032881824,0.0027767181396484374,0.0001770242520788496,100,,"{'C': 100, 'class_weight': None}",0.6842105263157895,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.631578947368421,0.5052631578947369,0.13147364207154524,42,0.4117647058823529,0.5833333333333334
