,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.0068492889404296875,0.00033215943879012707,0.002539539337158203,4.378850431409776e-05,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
11,0.005635356903076172,9.602979477333797e-05,0.0022663593292236326,3.6204283196531005e-05,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
12,0.005025815963745117,0.00010634766486640113,0.002178049087524414,8.027233134945351e-05,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6307692307692307,0.6615384615384615,0.6,0.5625,0.59375,0.6097115384615385,0.03378600424495676,31
13,0.004516887664794922,8.806491684284718e-05,0.002042531967163086,4.8524360591227564e-05,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.7230769230769231,0.676923076923077,0.5846153846153846,0.546875,0.640625,0.634423076923077,0.06300744443900044,22
14,0.004540205001831055,0.00013742435317660025,0.0020487308502197266,2.772757848742296e-05,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6923076923076923,0.676923076923077,0.5692307692307692,0.59375,0.65625,0.6376923076923078,0.047925337951353876,20
15,0.006885671615600586,0.00029105796411967,0.0025066852569580076,5.975349912598956e-05,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
16,0.005571699142456055,0.00019046965280555337,0.0022631168365478517,2.0544654990344556e-05,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
17,0.005344295501708984,0.00013253093288538283,0.0020743370056152343,8.04066225013588e-05,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.6461538461538462,0.6307692307692307,0.5384615384615384,0.59375,0.59375,0.600576923076923,0.037256854736438395,32
18,0.004937982559204102,0.00022526690741955614,0.0019924163818359373,1.96161557370347e-05,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.6615384615384615,0.6923076923076923,0.6,0.640625,0.640625,0.6470192307692308,0.030180898750837154,19
19,0.004571437835693359,0.00015823437139698247,0.0018994808197021484,0.00010657081132166062,10,0.0001,rbf,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6923076923076923,0.6461538461538462,0.5692307692307692,0.59375,0.640625,0.6284134615384616,0.043012701096551725,26
20,0.008174514770507813,0.0013614724950803403,0.0029173851013183593,0.00035238751858470454,50,1,rbf,"{'C': 50, 'gamma': 1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
21,0.005710697174072266,0.0002778944448109706,0.0025206089019775392,0.0003499788348953071,50,0.1,rbf,"{'C': 50, 'gamma': 0.1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
22,0.005154466629028321,0.00016400180306149536,0.0021665096282958984,3.103253880964729e-05,50,0.01,rbf,"{'C': 50, 'gamma': 0.01, 'kernel': 'rbf'}",0.6461538461538462,0.6307692307692307,0.5384615384615384,0.59375,0.59375,0.600576923076923,0.037256854736438395,32
23,0.006713342666625976,0.000429152631758878,0.0020240306854248046,4.435293079665353e-05,50,0.001,rbf,"{'C': 50, 'gamma': 0.001, 'kernel': 'rbf'}",0.7076923076923077,0.6615384615384615,0.5230769230769231,0.671875,0.59375,0.6315865384615384,0.06560229601624892,23
24,0.005268001556396484,0.00019297173850955682,0.002092409133911133,0.0001928559265065574,50,0.0001,rbf,"{'C': 50, 'gamma': 0.0001, 'kernel': 'rbf'}",0.7384615384615385,0.6307692307692307,0.6461538461538462,0.6875,0.6875,0.678076923076923,0.037632409235286435,1
25,0.007064342498779297,0.0006453946986786852,0.0026526451110839844,0.0001088195259555295,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
26,0.005557107925415039,0.00034381438526379977,0.0023943901062011717,9.649556007573982e-05,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
27,0.0058995246887207035,0.0007857406062246303,0.0025694847106933595,0.0003707410407602674,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.6461538461538462,0.6307692307692307,0.5384615384615384,0.59375,0.59375,0.600576923076923,0.037256854736438395,32
28,0.00873270034790039,0.0011608628635133725,0.0021388053894042967,0.0002058680800651267,100,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.676923076923077,0.6461538461538462,0.5692307692307692,0.59375,0.5625,0.6097115384615386,0.04464935709231879,30
29,0.006463479995727539,0.00041364642029917984,0.0020455837249755858,6.266942897653934e-05,100,0.0001,rbf,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.7076923076923077,0.6307692307692307,0.6461538461538462,0.703125,0.6875,0.6750480769230769,0.030998395406076743,2
30,0.00662083625793457,0.0002716981305789721,0.002612781524658203,9.903373988555949e-05,1000,1,rbf,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
31,0.005522966384887695,0.00023744881816747043,0.0022535324096679688,9.969078815307202e-05,1000,0.1,rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
32,0.00511627197265625,0.00031079539998860197,0.0021558284759521486,4.951728320689397e-05,1000,0.01,rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",0.6461538461538462,0.6307692307692307,0.5384615384615384,0.59375,0.59375,0.600576923076923,0.037256854736438395,32
33,0.01229557991027832,0.0010154113614146796,0.0022044658660888674,0.00025805360880593747,1000,0.001,rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",0.7076923076923077,0.5538461538461539,0.6153846153846154,0.65625,0.578125,0.6222596153846154,0.05500840441435307,27
34,0.017657470703125,0.002567050551109394,0.0020322799682617188,7.98550634087201e-05,1000,0.0001,rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6615384615384615,0.7076923076923077,0.5692307692307692,0.640625,0.65625,0.6470673076923077,0.04487573242796987,18
35,0.006689596176147461,0.00016796079733490617,0.0024736881256103515,0.00011635487178126346,inf,1,rbf,"{'C': inf, 'gamma': 1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
36,0.005560064315795898,0.00037926131797610745,0.002317953109741211,0.00017375565251470968,inf,0.1,rbf,"{'C': inf, 'gamma': 0.1, 'kernel': 'rbf'}",0.6461538461538462,0.6615384615384615,0.6615384615384615,0.65625,0.65625,0.6563461538461539,0.005618215829996726,4
37,0.005280017852783203,0.00027260964246032424,0.002206850051879883,0.00013548834264968699,inf,0.01,rbf,"{'C': inf, 'gamma': 0.01, 'kernel': 'rbf'}",0.6461538461538462,0.6307692307692307,0.5384615384615384,0.59375,0.59375,0.600576923076923,0.037256854736438395,32
38,0.012317895889282227,0.0011301052821832854,0.0019390583038330078,9.979428226261728e-05,inf,0.001,rbf,"{'C': inf, 'gamma': 0.001, 'kernel': 'rbf'}",0.7384615384615385,0.5538461538461539,0.6153846153846154,0.65625,0.59375,0.6315384615384616,0.06287799894620766,24
39,1.9694688320159912,0.6904609709414363,0.0021535396575927735,7.896149787218813e-05,inf,0.0001,rbf,"{'C': inf, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6461538461538462,0.6461538461538462,0.5384615384615384,0.671875,0.5625,0.6130288461538462,0.052480184341527535,29
