,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_coef0,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
241,0.005866575241088867,0.00012910522581509497,0.0028748512268066406,0.00011559825060141112,1,balanced,12.0,0.1,"{'C': 1, 'class_weight': 'balanced', 'coef0': 12.0, 'gamma': 0.1}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
242,0.006286811828613281,0.0003789472447652957,0.0031749248504638673,0.00042864219625025673,1,balanced,12.0,0.01,"{'C': 1, 'class_weight': 'balanced', 'coef0': 12.0, 'gamma': 0.01}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
243,0.0058177471160888675,0.0001688907537478268,0.0028449058532714843,8.668456260334576e-05,1,balanced,12.0,0.001,"{'C': 1, 'class_weight': 'balanced', 'coef0': 12.0, 'gamma': 0.001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
244,0.006074190139770508,0.0006459688888603991,0.0030339241027832033,0.0002816230855789097,1,balanced,12.0,0.0001,"{'C': 1, 'class_weight': 'balanced', 'coef0': 12.0, 'gamma': 0.0001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
245,0.006032180786132812,0.00010315723643465784,0.0028809070587158202,7.481825735001147e-05,1,balanced,13.5,1,"{'C': 1, 'class_weight': 'balanced', 'coef0': 13.5, 'gamma': 1}",1.0,0.0,0.8888888888888888,0.9444444444444444,1.0,0.7666666666666666,0.38554114606438833,33,0.42857142857142855,1.0
246,0.0062061786651611325,0.0004483400009463498,0.0029590606689453127,0.0001797577680732636,1,balanced,13.5,0.1,"{'C': 1, 'class_weight': 'balanced', 'coef0': 13.5, 'gamma': 0.1}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
247,0.006275987625122071,0.0004619139198441995,0.003090238571166992,0.00043422174044226646,1,balanced,13.5,0.01,"{'C': 1, 'class_weight': 'balanced', 'coef0': 13.5, 'gamma': 0.01}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
248,0.005874347686767578,5.9462836374176494e-05,0.0029100894927978514,0.00014242347661541302,1,balanced,13.5,0.001,"{'C': 1, 'class_weight': 'balanced', 'coef0': 13.5, 'gamma': 0.001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
249,0.005973529815673828,9.340562012060283e-05,0.002981281280517578,9.974295895936199e-05,1,balanced,13.5,0.0001,"{'C': 1, 'class_weight': 'balanced', 'coef0': 13.5, 'gamma': 0.0001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,236,0.42857142857142855,1.0
250,0.004549360275268555,0.00021279670128170937,0.0024900913238525392,0.00010917607176666356,1,,0.0,1,"{'C': 1, 'class_weight': None, 'coef0': 0.0, 'gamma': 1}",0.5294117647058824,0.2777777777777778,0.2777777777777778,0.5,0.3888888888888889,0.3947712418300654,0.10640554993447697,185,0.42857142857142855,1.0
