,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2658,0.7723768711090088,0.1335495692578792,0.001865720748901367,5.018098866323015e-05,100,4.5,1.0,0.001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 1.0, 'gamma': 0.001, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2659,0.0063781261444091795,0.0008630221097610873,0.0016539573669433593,5.244588815294618e-05,100,4.5,1.0,0.0001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 1.0, 'gamma': 0.0001, 'kernel': 'poly'}",0.8923076923076924,0.8923076923076924,0.8461538461538461,0.78125,0.921875,0.866778846153846,0.049152017842487065,2875
2660,0.03823533058166504,0.004845138069633726,0.0017811775207519532,0.00026875442424829373,100,4.5,2.0,1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 2.0, 'gamma': 1, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2661,0.036476850509643555,0.005551992032844172,0.0016302108764648438,8.499073596698067e-05,100,4.5,2.0,0.1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 2.0, 'gamma': 0.1, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2662,0.026424312591552736,0.003917890029476821,0.0016277790069580077,9.058407609406791e-05,100,4.5,2.0,0.01,poly,"{'C': 100, 'coef0': 4.5, 'degree': 2.0, 'gamma': 0.01, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2663,0.02541499137878418,0.005599195838339159,0.001612234115600586,0.00012280768593400066,100,4.5,2.0,0.001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 2.0, 'gamma': 0.001, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2664,0.05103597640991211,0.008984350556545317,0.0015884876251220704,7.165191935385251e-05,100,4.5,2.0,0.0001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 2.0, 'gamma': 0.0001, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2665,0.026226902008056642,0.004857003682828897,0.001476430892944336,3.3995379430090824e-05,100,4.5,3.0,1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 3.0, 'gamma': 1, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2666,0.024483633041381837,0.005976911071974537,0.001571512222290039,0.00010019647939790964,100,4.5,3.0,0.1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 3.0, 'gamma': 0.1, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2667,0.018849706649780272,0.006414937927830842,0.001412343978881836,8.31133322110256e-05,100,4.5,3.0,0.01,poly,"{'C': 100, 'coef0': 4.5, 'degree': 3.0, 'gamma': 0.01, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2668,0.019264078140258788,0.004983266871823307,0.0014882087707519531,0.00014031228108579984,100,4.5,3.0,0.001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 3.0, 'gamma': 0.001, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2669,0.03426580429077149,0.010543389097730024,0.0016570568084716796,0.00019977470470180437,100,4.5,3.0,0.0001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 3.0, 'gamma': 0.0001, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2670,0.028130817413330077,0.004170458505245459,0.0015844345092773438,5.099496414808791e-05,100,4.5,4.0,1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 4.0, 'gamma': 1, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,0.984375,0.996875,0.00625,1239
2671,0.024902200698852538,0.004917302585519102,0.001500558853149414,4.3734416540557965e-05,100,4.5,4.0,0.1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 4.0, 'gamma': 0.1, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,0.984375,0.996875,0.00625,1239
2672,0.01668086051940918,0.0038237144635754478,0.0015468597412109375,9.131811298413459e-05,100,4.5,4.0,0.01,poly,"{'C': 100, 'coef0': 4.5, 'degree': 4.0, 'gamma': 0.01, 'kernel': 'poly'}",0.9846153846153847,1.0,1.0,1.0,0.984375,0.993798076923077,0.007596153846153832,1412
2673,0.015769338607788085,0.0033342670093148984,0.001423215866088867,5.077623938062841e-05,100,4.5,4.0,0.001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 4.0, 'gamma': 0.001, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2674,0.02813277244567871,0.006292712476334891,0.0015867233276367187,0.00012762227411625493,100,4.5,4.0,0.0001,poly,"{'C': 100, 'coef0': 4.5, 'degree': 4.0, 'gamma': 0.0001, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2675,0.026087331771850585,0.0034092811401718833,0.001416778564453125,6.056293710236881e-05,100,4.5,5.0,1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 5.0, 'gamma': 1, 'kernel': 'poly'}",1.0,1.0,0.9538461538461539,0.984375,0.984375,0.9845192307692308,0.016853413214605754,1716
2676,0.022829294204711914,0.00500753288436779,0.0015747547149658203,0.00016774972640562575,100,4.5,5.0,0.1,poly,"{'C': 100, 'coef0': 4.5, 'degree': 5.0, 'gamma': 0.1, 'kernel': 'poly'}",1.0,1.0,0.9692307692307692,0.984375,0.984375,0.9875961538461538,0.011539062484350776,1644
