,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
60,0.005089759826660156,0.001476665097156464,0.003477668762207031,0.0019097749929259814,0.5,3.0,1,"{'C': 0.5, 'coef0': 3.0, 'gamma': 1}",0.5263157894736842,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.5789473684210527,0.41052631578947374,0.1172160918490531,37,0.5,0.3333333333333333
61,0.004898166656494141,0.000387711205904772,0.002913379669189453,0.0002885162952874465,0.5,3.0,0.1,"{'C': 0.5, 'coef0': 3.0, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
62,0.004786396026611328,0.00028538333839432634,0.002624988555908203,8.068107262257487e-05,0.5,3.0,0.01,"{'C': 0.5, 'coef0': 3.0, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
63,0.004812860488891601,0.00025993257314729925,0.0025963783264160156,5.546397156631689e-05,0.5,3.0,0.001,"{'C': 0.5, 'coef0': 3.0, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
64,0.004693508148193359,0.00022129606154035192,0.0026703834533691405,8.753769225522576e-05,0.5,3.0,0.0001,"{'C': 0.5, 'coef0': 3.0, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
65,0.004683113098144532,0.000828762660544637,0.002466726303100586,7.780755170652413e-05,0.5,4.5,1,"{'C': 0.5, 'coef0': 4.5, 'gamma': 1}",0.42105263157894735,0.3157894736842105,0.2631578947368421,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.07443229275647868,52,0.5,0.3333333333333333
66,0.006645107269287109,0.0022417777467812977,0.003217792510986328,0.0005404669031253541,0.5,4.5,0.1,"{'C': 0.5, 'coef0': 4.5, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
67,0.0045642852783203125,0.0001072621843406621,0.002635335922241211,4.073836152179758e-05,0.5,4.5,0.01,"{'C': 0.5, 'coef0': 4.5, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
68,0.004775571823120117,0.0004499064693402534,0.0026749134063720702,0.00015840646661817475,0.5,4.5,0.001,"{'C': 0.5, 'coef0': 4.5, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
69,0.004579877853393555,4.317801937154787e-05,0.0026828289031982423,7.920143188510574e-05,0.5,4.5,0.0001,"{'C': 0.5, 'coef0': 4.5, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
70,0.004226779937744141,0.00022862731172801546,0.002484750747680664,0.00010537900534398003,0.5,6.0,1,"{'C': 0.5, 'coef0': 6.0, 'gamma': 1}",0.42105263157894735,0.3157894736842105,0.15789473684210525,0.3684210526315789,0.3684210526315789,0.3263157894736842,0.09055079228465923,56,0.5,0.3333333333333333
71,0.005189657211303711,0.0007854283432932156,0.0029325962066650392,0.00039994809808636787,0.5,6.0,0.1,"{'C': 0.5, 'coef0': 6.0, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
72,0.006180334091186524,0.0022439242279461034,0.003473997116088867,0.0007638036036092219,0.5,6.0,0.01,"{'C': 0.5, 'coef0': 6.0, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
73,0.00545654296875,0.0005691417858890176,0.003341007232666016,0.0007044788269965221,0.5,6.0,0.001,"{'C': 0.5, 'coef0': 6.0, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
74,0.0050280094146728516,0.0002877139553613863,0.0032031059265136717,0.0004279480908180963,0.5,6.0,0.0001,"{'C': 0.5, 'coef0': 6.0, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
75,0.0048024654388427734,0.0005458685710040117,0.0027678489685058595,0.000296680799203021,0.5,7.5,1,"{'C': 0.5, 'coef0': 7.5, 'gamma': 1}",0.3684210526315789,0.2631578947368421,0.3157894736842105,0.15789473684210525,0.10526315789473684,0.24210526315789468,0.09761703679469161,66,0.5,0.3333333333333333
76,0.004634237289428711,0.00017685796989921426,0.002934551239013672,0.0002431456493386135,0.5,7.5,0.1,"{'C': 0.5, 'coef0': 7.5, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
77,0.005040597915649414,0.00046290946093413603,0.0027959346771240234,0.0001253461503091842,0.5,7.5,0.01,"{'C': 0.5, 'coef0': 7.5, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
78,0.004846715927124023,0.00010336160085095272,0.002921390533447266,0.0003440465978923835,0.5,7.5,0.001,"{'C': 0.5, 'coef0': 7.5, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
79,0.004900312423706055,0.0003370503004049439,0.002812957763671875,0.0002655811150162131,0.5,7.5,0.0001,"{'C': 0.5, 'coef0': 7.5, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
80,0.005052900314331055,0.0006090781517770707,0.0029322147369384766,0.00015809669553031077,0.5,9.0,1,"{'C': 0.5, 'coef0': 9.0, 'gamma': 1}",0.3157894736842105,0.0,0.05263157894736842,0.15789473684210525,0.0,0.10526315789473684,0.12001846579990925,82,0.5,0.3333333333333333
81,0.004789304733276367,0.0001412071266383927,0.0033612728118896486,0.0010227002054194526,0.5,9.0,0.1,"{'C': 0.5, 'coef0': 9.0, 'gamma': 0.1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
82,0.00500955581665039,0.00025090284088990854,0.002869319915771484,0.00017746687535995543,0.5,9.0,0.01,"{'C': 0.5, 'coef0': 9.0, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5,0.3333333333333333
