,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
29,0.0046501636505126955,0.0011767674130440382,0.0034381866455078123,0.001543651318477559,0.5,,0.0001,"{'C': 0.5, 'class_weight': None, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
30,0.005134105682373047,0.00013720677477479192,0.0029950618743896486,0.00012255822588074137,0.5,"{0: 1.0, 1: 1.5}",1,"{'C': 0.5, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
31,0.005833768844604492,0.0027993985081867854,0.003521728515625,0.0009675831688333511,0.5,"{0: 1.0, 1: 1.5}",0.1,"{'C': 0.5, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.1}",0.47058823529411764,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.5163398692810457,0.085518573771483,36,0.5121951219512195,0.7
32,0.0044039726257324215,7.476049380003921e-05,0.002680253982543945,5.847827950284813e-05,0.5,"{0: 1.0, 1: 1.5}",0.01,"{'C': 0.5, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.01}",0.4117647058823529,0.4444444444444444,0.3888888888888889,0.5555555555555556,0.4444444444444444,0.44901960784313727,0.05726325781388108,50,0.5121951219512195,0.7
33,0.004318141937255859,0.0003153995615186692,0.00263824462890625,9.671024051363468e-05,0.5,"{0: 1.0, 1: 1.5}",0.001,"{'C': 0.5, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
34,0.004280567169189453,0.00020438444339763342,0.002686882019042969,7.940170599622194e-05,0.5,"{0: 1.0, 1: 1.5}",0.0001,"{'C': 0.5, 'class_weight': {0: 1.0, 1: 1.5}, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
35,0.0052855491638183595,3.3725367775855275e-05,0.0027487754821777345,0.00015225578466074484,0.5,"{0: 1, 1: 1.3}",1,"{'C': 0.5, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
36,0.004431915283203125,0.00022982232265706073,0.002706432342529297,0.0002781162934380608,0.5,"{0: 1, 1: 1.3}",0.1,"{'C': 0.5, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.1}",0.4117647058823529,0.4444444444444444,0.3333333333333333,0.3888888888888889,0.2777777777777778,0.3712418300653595,0.059134977967411864,72,0.5121951219512195,0.7
37,0.0042975425720214845,0.0005283170741592581,0.0026109695434570314,0.00011055687259917911,0.5,"{0: 1, 1: 1.3}",0.01,"{'C': 0.5, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.01}",0.11764705882352941,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.1457516339869281,0.05594252006936119,82,0.5121951219512195,0.7
38,0.00416712760925293,0.00037680381274859877,0.0025358676910400392,5.042209681196843e-05,0.5,"{0: 1, 1: 1.3}",0.001,"{'C': 0.5, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
39,0.004291105270385742,7.870867165338813e-05,0.002496671676635742,7.916708933852781e-05,0.5,"{0: 1, 1: 1.3}",0.0001,"{'C': 0.5, 'class_weight': {0: 1, 1: 1.3}, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.5121951219512195,0.7
40,0.0049649238586425785,0.0003686740921427121,0.0027054309844970702,5.6212528384895364e-05,1,balanced,1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1}",0.058823529411764705,0.0,0.16666666666666666,0.0,0.16666666666666666,0.07843137254901959,0.07517760593208161,84,0.5121951219512195,0.7
41,0.005291175842285156,0.0013502778450727852,0.0034813880920410156,0.0012780482761556148,1,balanced,0.1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1}",0.7058823529411765,0.6111111111111112,0.5,0.8333333333333334,0.6666666666666666,0.6633986928104576,0.10965988062459163,16,0.5121951219512195,0.7
42,0.004515981674194336,0.0002993234347875422,0.0028753280639648438,0.00026692673741870413,1,balanced,0.01,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01}",0.7058823529411765,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.7222222222222222,0.6967320261437908,0.08969739950605832,11,0.5121951219512195,0.7
43,0.0051647663116455075,0.00011105552769966043,0.002895975112915039,0.00019944608939619725,1,balanced,0.001,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.001}",0.8823529411764706,0.7222222222222222,0.7222222222222222,0.8333333333333334,0.7777777777777778,0.7875816993464053,0.06279273790575399,2,0.5121951219512195,0.7
44,0.004999303817749023,0.00031818327779632667,0.0030127525329589843,0.00022174120429997593,1,balanced,0.0001,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.0001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,77,0.5121951219512195,0.7
45,0.0051138877868652345,9.072362969160355e-05,0.0028236865997314452,0.00015619948038887298,1,,1,"{'C': 1, 'class_weight': None, 'gamma': 1}",0.0,0.0,0.0,0.0,0.05555555555555555,0.01111111111111111,0.02222222222222222,106,0.5121951219512195,0.7
46,0.004314136505126953,0.0003333167592332862,0.0026773452758789063,0.00023056299972029737,1,,0.1,"{'C': 1, 'class_weight': None, 'gamma': 0.1}",0.35294117647058826,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.3333333333333333,0.29281045751633983,0.046243850853094716,74,0.5121951219512195,0.7
47,0.004477691650390625,0.0008138282384866535,0.0027971744537353517,0.0007084323843495686,1,,0.01,"{'C': 1, 'class_weight': None, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,0.06666666666666667,104,0.5121951219512195,0.7
